You have not been allocated GPUs. To request GPUs, use the -G option in your submission script.
process 0, data[0] == 0
process 0, data[1] == 10
process 0, data[2] == 20
process 0, data[3] == 30
process 0, data[4] == 40
process 0, data[5] == 50
process 0, data[6] == 60
process 0, data[7] == 70
process 0, data[8] == 80
process 0, data[9] == 90
process 0, data[10] == a0
process 0, data[11] == b0
process 0, data[12] == c0
process 0, data[13] == d0
process 0, data[14] == e0
process 0, data[15] == f0
process 2, data[0] == 2
process 2, data[1] == 12
process 2, data[2] == 22
process 2, data[3] == 32
process 2, data[4] == 42
process 2, data[5] == 52
process 2, data[6] == 62
process 2, data[7] == 72
process 2, data[8] == 82
process 2, data[9] == 92
process 2, data[10] == a2
process 2, data[11] == b2
process 2, data[12] == c2
process 2, data[13] == d2
process 2, data[14] == e2
process 2, data[15] == f2
process 4, data[0] == 4
process 4, data[1] == 14
process 4, data[2] == 24
process 4, data[3] == 34
process 4, data[4] == 44
process 4, data[5] == 54
process 4, data[6] == 64
process 4, data[7] == 74
process 4, data[8] == 84
process 4, data[9] == 94
process 4, data[10] == a4
process 4, data[11] == b4
process 4, data[12] == c4
process 4, data[13] == d4
process 4, data[14] == e4
process 4, data[15] == f4
process 15, data[0] == f
process 15, data[1] == 1f
process 15, data[2] == 2f
process 15, data[3] == 3f
process 15, data[4] == 4f
process 15, data[5] == 5f
process 15, data[6] == 6f
process 15, data[7] == 7f
process 15, data[8] == 8f
process 15, data[9] == 9f
process 15, data[10] == af
process 15, data[11] == bf
process 15, data[12] == cf
process 15, data[13] == df
process 15, data[14] == ef
process 15, data[15] == ff
process 3, data[0] == 3
process 3, data[1] == 13
process 3, data[2] == 23
process 3, data[3] == 33
process 3, data[4] == 43
process 3, data[5] == 53
process 3, data[6] == 63
process 3, data[7] == 73
process 3, data[8] == 83
process 3, data[9] == 93
process 3, data[10] == a3
process 3, data[11] == b3
process 3, data[12] == c3
process 3, data[13] == d3
process 3, data[14] == e3
process 3, data[15] == f3
process 1, data[0] == 1
process 1, data[1] == 11
process 1, data[2] == 21
process 1, data[3] == 31
process 1, data[4] == 41
process 1, data[5] == 51
process 1, data[6] == 61
process 1, data[7] == 71
process 1, data[8] == 81
process 1, data[9] == 91
process 1, data[10] == a1
process 1, data[11] == b1
process 1, data[12] == c1
process 1, data[13] == d1
process 1, data[14] == e1
process 1, data[15] == f1
process 11, data[0] == b
process 11, data[1] == 1b
process 11, data[2] == 2b
process 11, data[3] == 3b
process 11, data[4] == 4b
process 11, data[5] == 5b
process 11, data[6] == 6b
process 11, data[7] == 7b
process 11, data[8] == 8b
process 11, data[9] == 9b
process 11, data[10] == ab
process 11, data[11] == bb
process 11, data[12] == cb
process 11, data[13] == db
process 11, data[14] == eb
process 11, data[15] == fb
process 14, data[0] == e
process 14, data[1] == 1e
process 14, data[2] == 2e
process 14, data[3] == 3e
process 14, data[4] == 4e
process 14, data[5] == 5e
process 14, data[6] == 6e
process 14, data[7] == 7e
process 14, data[8] == 8e
process 14, data[9] == 9e
process 14, data[10] == ae
process 14, data[11] == be
process 14, data[12] == ce
process 14, data[13] == de
process 14, data[14] == ee
process 14, data[15] == fe
process 6, data[0] == 6
process 6, data[1] == 16
process 6, data[2] == 26
process 6, data[3] == 36
process 6, data[4] == 46
process 6, data[5] == 56
process 6, data[6] == 66
process 6, data[7] == 76
process 6, data[8] == 86
process 6, data[9] == 96
process 6, data[10] == a6
process 6, data[11] == b6
process 6, data[12] == c6
process 6, data[13] == d6
process 6, data[14] == e6
process 6, data[15] == f6
process 10, data[0] == a
process 10, data[1] == 1a
process 10, data[2] == 2a
process 10, data[3] == 3a
process 10, data[4] == 4a
process 10, data[5] == 5a
process 10, data[6] == 6a
process 10, data[7] == 7a
process 10, data[8] == 8a
process 10, data[9] == 9a
process 10, data[10] == aa
process 10, data[11] == ba
process 10, data[12] == ca
process 10, data[13] == da
process 10, data[14] == ea
process 10, data[15] == fa
process 5, data[0] == 5
process 5, data[1] == 15
process 5, data[2] == 25
process 5, data[3] == 35
process 5, data[4] == 45
process 5, data[5] == 55
process 5, data[6] == 65
process 5, data[7] == 75
process 5, data[8] == 85
process 5, data[9] == 95
process 5, data[10] == a5
process 5, data[11] == b5
process 5, data[12] == c5
process 5, data[13] == d5
process 5, data[14] == e5
process 5, data[15] == f5
process 8, data[0] == 8
process 8, data[1] == 18
process 8, data[2] == 28
process 8, data[3] == 38
process 8, data[4] == 48
process 8, data[5] == 58
process 8, data[6] == 68
process 8, data[7] == 78
process 8, data[8] == 88
process 8, data[9] == 98
process 8, data[10] == a8
process 8, data[11] == b8
process 8, data[12] == c8
process 8, data[13] == d8
process 8, data[14] == e8
process 8, data[15] == f8
process 7, data[0] == 7
process 7, data[1] == 17
process 7, data[2] == 27
process 7, data[3] == 37
process 7, data[4] == 47
process 7, data[5] == 57
process 7, data[6] == 67
process 7, data[7] == 77
process 7, data[8] == 87
process 7, data[9] == 97
process 7, data[10] == a7
process 7, data[11] == b7
process 7, data[12] == c7
process 7, data[13] == d7
process 7, data[14] == e7
process 7, data[15] == f7
process 9, data[0] == 9
process 9, data[1] == 19
process 9, data[2] == 29
process 9, data[3] == 39
process 9, data[4] == 49
process 9, data[5] == 59
process 9, data[6] == 69
process 9, data[7] == 79
process 9, data[8] == 89
process 9, data[9] == 99
process 9, data[10] == a9
process 9, data[11] == b9
process 9, data[12] == c9
process 9, data[13] == d9
process 9, data[14] == e9
process 9, data[15] == f9
process 12, data[0] == c
process 12, data[1] == 1c
process 12, data[2] == 2c
process 12, data[3] == 3c
process 12, data[4] == 4c
process 12, data[5] == 5c
process 12, data[6] == 6c
process 12, data[7] == 7c
process 12, data[8] == 8c
process 12, data[9] == 9c
process 12, data[10] == ac
process 12, data[11] == bc
process 12, data[12] == cc
process 12, data[13] == dc
process 12, data[14] == ec
process 12, data[15] == fc
process 13, data[0] == d
process 13, data[1] == 1d
process 13, data[2] == 2d
process 13, data[3] == 3d
process 13, data[4] == 4d
process 13, data[5] == 5d
process 13, data[6] == 6d
process 13, data[7] == 7d
process 13, data[8] == 8d
process 13, data[9] == 9d
process 13, data[10] == ad
process 13, data[11] == bd
process 13, data[12] == cd
process 13, data[13] == dd
process 13, data[14] == ed
process 13, data[15] == fd
